id,title,body,category,urgency,html_url,cleaned_title,cleaned_body,text_for_classification
45,修改个人信息保存失败...,修改个人信息保存失败,账号问题,中,https://example.com/issues/45,修改个人信息保存失败...,修改个人信息保存失败,修改个人信息保存失败
48,登录后显示的不是我的信息...,登录后显示的不是我的信息,账号问题,中,https://example.com/issues/48,登录后显示的不是我的信息...,登录后显示的不是我的信息,登录后显示的不是我的信息
5,数据保存不成功，丢失了工作内容...,数据保存不成功，丢失了工作内容,Bug反馈,低,https://example.com/issues/5,数据保存不成功，丢失了工作内容...,数据保存不成功，丢失了工作内容,数据保存不成功，丢失了工作内容
56,第三方登录失败...,第三方登录失败,账号问题,高,https://example.com/issues/56,第三方登录失败...,第三方登录失败,第三方登录失败
27,希望能自定义界面布局...,希望能自定义界面布局,功能建议,高,https://example.com/issues/27,希望能自定义界面布局...,希望能自定义界面布局,希望能自定义界面布局
65,下载文件时连接超时...,下载文件时连接超时,网络连接失败,高,https://example.com/issues/65,下载文件时连接超时...,下载文件时连接超时,下载文件时连接超时
74,防火墙阻止了连接...,防火墙阻止了连接,网络连接失败,中,https://example.com/issues/74,防火墙阻止了连接...,防火墙阻止了连接,防火墙阻止了连接
11,计算结果不正确，存在错误...,计算结果不正确，存在错误,Bug反馈,中,https://example.com/issues/11,计算结果不正确，存在错误...,计算结果不正确，存在错误,计算结果不正确，存在错误
41,无法登录，密码正确但提示错误...,无法登录，密码正确但提示错误,账号问题,高,https://example.com/issues/41,无法登录，密码正确但提示错误...,无法登录，密码正确但提示错误,无法登录，密码正确但提示错误
108,滚动时出现卡顿...,滚动时出现卡顿,性能问题,高,https://example.com/issues/108,滚动时出现卡顿...,滚动时出现卡顿,滚动时出现卡顿
19,时间显示错误，格式混乱...,时间显示错误，格式混乱,Bug反馈,中,https://example.com/issues/19,时间显示错误，格式混乱...,时间显示错误，格式混乱,时间显示错误，格式混乱
63,上传文件时连接中断...,上传文件时连接中断,网络连接失败,低,https://example.com/issues/63,上传文件时连接中断...,上传文件时连接中断,上传文件时连接中断
12,导出功能异常，文件损坏...,导出功能异常，文件损坏,Bug反馈,高,https://example.com/issues/12,导出功能异常，文件损坏...,导出功能异常，文件损坏,导出功能异常，文件损坏
37,建议增加自动保存功能...,建议增加自动保存功能,功能建议,低,https://example.com/issues/37,建议增加自动保存功能...,建议增加自动保存功能,建议增加自动保存功能
90,技术文档太复杂，不易理解...,技术文档太复杂，不易理解,文档问题,高,https://example.com/issues/90,技术文档太复杂，不易理解...,技术文档太复杂，不易理解,技术文档太复杂，不易理解
92,安装指南有误...,安装指南有误,文档问题,低,https://example.com/issues/92,安装指南有误...,安装指南有误,安装指南有误
110,批量操作耗时过长...,批量操作耗时过长,性能问题,高,https://example.com/issues/110,批量操作耗时过长...,批量操作耗时过长,批量操作耗时过长
1,系统出现崩溃，无法正常使用...,系统出现崩溃，无法正常使用,Bug反馈,高,https://example.com/issues/1,系统出现崩溃，无法正常使用...,系统出现崩溃，无法正常使用,系统出现崩溃，无法正常使用
89,缺少常见问题解答...,缺少常见问题解答,文档问题,中,https://example.com/issues/89,缺少常见问题解答...,缺少常见问题解答,缺少常见问题解答
105,数据库查询太慢...,数据库查询太慢,性能问题,中,https://example.com/issues/105,数据库查询太慢...,数据库查询太慢,数据库查询太慢
66,视频播放卡顿，网络问题...,视频播放卡顿，网络问题,网络连接失败,低,https://example.com/issues/66,视频播放卡顿，网络问题...,视频播放卡顿，网络问题,视频播放卡顿，网络问题
